api-1  | {"time":"2026-09-14T03:36:59.799323481Z","level":"WARN","msg":"role not permitted for this operation","request_id":"488eb3cc-00f5-443a-be6e-5a205506d066","user_id":"c0000000-0000-0000-0000-000000000001","role":"estudiante","method":"POST","path":"/api/v1/courses"}
api-1  | {"time":"2026-09-14T03:36:59.799419378Z","level":"INFO","msg":"http request","request_id":"488eb3cc-00f5-443a-be6e-5a205506d066","method":"POST","path":"/api/v1/courses","status":403,"bytes":82,"duración":"1.759129ms","duración_ms":1,"trace_id":"3e90a32bcaceb4683bdef97674c4a05b"}
api-1  | {"time":"2026-09-14T03:36:59.839933651Z","level":"WARN","msg":"role not permitted for this operation","request_id":"5505e511-5366-43f5-99db-5389a03b97ef","user_id":"c0000000-0000-0000-0000-000000000001","role":"estudiante","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/modules"}
api-1  | {"time":"2026-09-14T03:36:59.840107099Z","level":"INFO","msg":"http request","request_id":"5505e511-5366-43f5-99db-5389a03b97ef","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/modules","status":403,"bytes":82,"duración":"1.885846ms","duración_ms":1,"trace_id":"c8a0daa85efc23b2cd1ad3f41720be27"}
api-1  | {"time":"2026-09-14T03:36:59.872606716Z","level":"WARN","msg":"role not permitted for this operation","request_id":"dc4a2d72-1688-4eaf-9c5c-8ab803a152fe","user_id":"c0000000-0000-0000-0000-000000000001","role":"estudiante","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/publish"}
api-1  | {"time":"2026-09-14T03:36:59.872665601Z","level":"INFO","msg":"http request","request_id":"dc4a2d72-1688-4eaf-9c5c-8ab803a152fe","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/publish","status":403,"bytes":82,"duración":"1.601551ms","duración_ms":1,"trace_id":"c62acc607a2d94f390d84f7c7a6fcea8"}
api-1  | {"time":"2026-09-14T03:36:59.906353574Z","level":"INFO","msg":"http request","request_id":"d3cab5d5-a78d-4929-88e6-99879ac69cf9","method":"POST","path":"/api/v1/courses","status":401,"bytes":69,"duración":"25.39µs","duración_ms":0,"trace_id":"67aca365e9a4e6abe4814df40bd14d37"}
api-1  | {"Name":"PATCH /api/v1/admin/users/a0000000-0000-0000-0000-000000000001/role","SpanContext":{"TraceID":"f3110bcf2cb4b144d5f59af1145b66b2","SpanID":"84ca5db3da1c1704","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:55.125215667Z","EndTime":"2026-09-14T03:36:55.128792415Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"PATCH"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/admin/users/a0000000-0000-0000-0000-000000000001/role"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"2e9fa6b1-9140-4256-b895-58878c84dd4e"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":409}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
api-1  | {"Name":"PATCH /api/v1/admin/users/a0000000-0000-0000-0000-000000000002/status","SpanContext":{"TraceID":"3a584f63d965f20ddc091698a81d80e8","SpanID":"5e43febe7d06d7c4","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:55.169379898Z","EndTime":"2026-09-14T03:36:55.182328243Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"PATCH"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/admin/users/a0000000-0000-0000-0000-000000000002/status"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"5d772384-3ae5-4313-a792-ab2b06ea3683"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":200}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
api-1  | {"Name":"GET /api/v1/admin/users","SpanContext":{"TraceID":"686f747b04efe8e3cc6cc3aa6f055272","SpanID":"8ad5bb73b84a1c39","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:55.215017783Z","EndTime":"2026-09-14T03:36:55.217346729Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"GET"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/admin/users"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"68a8eeee-b930-4b20-8504-d9aed5595eb0"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":200}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
